timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708944532238,290,GET Single User,200,OK,Worload Config 1-1,text,true,,1178,96,1,1,https://reqres.in/api/users/2,290,0,260
1708944532738,103,GET Single User,200,OK,Worload Config 1-2,text,true,,1182,96,2,2,https://reqres.in/api/users/2,103,0,69
1708944532579,391,POST Register,201,Created,Worload Config 1-1,text,true,,901,204,2,2,https://reqres.in/api/users,391,0,0
1708944532844,394,POST Register,201,Created,Worload Config 1-2,text,true,,901,204,2,2,https://reqres.in/api/users,394,0,0
1708944533237,85,GET Single User,200,OK,Worload Config 1-3,text,true,,1178,96,1,1,https://reqres.in/api/users/2,84,0,53
1708944533322,394,POST Register,201,Created,Worload Config 1-3,text,true,,901,204,1,1,https://reqres.in/api/users,394,0,0
1708944533737,84,GET Single User,200,OK,Worload Config 1-4,text,true,,1186,96,1,1,https://reqres.in/api/users/2,84,0,52
1708944533822,384,POST Register,201,Created,Worload Config 1-4,text,true,,909,204,1,1,https://reqres.in/api/users,384,0,0
1708944534238,95,GET Single User,200,OK,Worload Config 1-5,text,true,,1178,96,1,1,https://reqres.in/api/users/2,95,0,61
1708944534334,384,POST Register,201,Created,Worload Config 1-5,text,true,,909,204,1,1,https://reqres.in/api/users,384,0,0
1708944534739,121,GET Single User,200,OK,Worload Config 1-6,text,true,,1178,96,1,1,https://reqres.in/api/users/2,121,0,84
1708944534861,384,POST Register,201,Created,Worload Config 1-6,text,true,,893,204,2,2,https://reqres.in/api/users,384,0,0
1708944535237,107,GET Single User,200,OK,Worload Config 1-7,text,true,,1186,96,1,1,https://reqres.in/api/users/2,107,0,62
1708944535345,396,POST Register,201,Created,Worload Config 1-7,text,true,,892,204,2,2,https://reqres.in/api/users,396,0,0
1708944535739,91,GET Single User,200,OK,Worload Config 1-8,text,true,,1186,96,1,1,https://reqres.in/api/users/2,91,0,61
1708944535831,380,POST Register,201,Created,Worload Config 1-8,text,true,,900,204,1,1,https://reqres.in/api/users,380,0,0
1708944536238,98,GET Single User,200,OK,Worload Config 1-9,text,true,,1186,96,1,1,https://reqres.in/api/users/2,98,0,65
1708944536337,385,POST Register,201,Created,Worload Config 1-9,text,true,,901,204,1,1,https://reqres.in/api/users,385,0,0
1708944536736,126,GET Single User,200,OK,Worload Config 1-10,text,true,,1178,96,1,1,https://reqres.in/api/users/2,126,0,54
1708944536863,394,POST Register,201,Created,Worload Config 1-10,text,true,,897,204,2,2,https://reqres.in/api/users,394,0,0
1708944537240,90,GET Single User,200,OK,Worload Config 1-11,text,true,,1182,96,1,1,https://reqres.in/api/users/2,90,0,56
1708944537330,399,POST Register,201,Created,Worload Config 1-11,text,true,,897,204,1,1,https://reqres.in/api/users,399,0,0
1708944537738,102,GET Single User,200,OK,Worload Config 1-12,text,true,,1178,96,1,1,https://reqres.in/api/users/2,102,0,62
1708944537841,394,POST Register,201,Created,Worload Config 1-12,text,true,,901,204,1,1,https://reqres.in/api/users,394,0,0
1708944538239,88,GET Single User,200,OK,Worload Config 1-13,text,true,,1178,96,1,1,https://reqres.in/api/users/2,88,0,51
1708944538327,381,POST Register,201,Created,Worload Config 1-13,text,true,,901,204,1,1,https://reqres.in/api/users,381,0,0
1708944538739,87,GET Single User,200,OK,Worload Config 1-14,text,true,,1186,96,1,1,https://reqres.in/api/users/2,87,0,52
1708944538826,394,POST Register,201,Created,Worload Config 1-14,text,true,,897,204,1,1,https://reqres.in/api/users,394,0,0
1708944539239,93,GET Single User,200,OK,Worload Config 1-15,text,true,,1182,96,1,1,https://reqres.in/api/users/2,93,0,53
1708944539333,385,POST Register,201,Created,Worload Config 1-15,text,true,,897,204,1,1,https://reqres.in/api/users,385,0,0
1708944539737,98,GET Single User,200,OK,Worload Config 1-16,text,true,,1186,96,1,1,https://reqres.in/api/users/2,98,0,56
1708944539836,387,POST Register,201,Created,Worload Config 1-16,text,true,,897,204,1,1,https://reqres.in/api/users,387,0,0
1708944540237,92,GET Single User,200,OK,Worload Config 1-17,text,true,,1178,96,1,1,https://reqres.in/api/users/2,92,0,58
1708944540330,384,POST Register,201,Created,Worload Config 1-17,text,true,,897,204,1,1,https://reqres.in/api/users,384,0,0
1708944540738,93,GET Single User,200,OK,Worload Config 1-18,text,true,,1186,96,1,1,https://reqres.in/api/users/2,92,0,61
1708944540831,386,POST Register,201,Created,Worload Config 1-18,text,true,,909,204,1,1,https://reqres.in/api/users,386,0,0
1708944541239,89,GET Single User,200,OK,Worload Config 1-19,text,true,,1186,96,1,1,https://reqres.in/api/users/2,89,0,59
1708944541329,384,POST Register,201,Created,Worload Config 1-19,text,true,,909,204,1,1,https://reqres.in/api/users,384,0,0
1708944541739,102,GET Single User,200,OK,Worload Config 1-20,text,true,,1186,96,1,1,https://reqres.in/api/users/2,101,0,67
1708944541842,398,POST Register,201,Created,Worload Config 1-20,text,true,,897,204,1,1,https://reqres.in/api/users,398,0,0
1708944542250,84,GET Single User,200,OK,Worload Config 1-21,text,true,,1178,96,1,1,https://reqres.in/api/users/2,84,0,53
1708944542334,379,POST Register,201,Created,Worload Config 1-21,text,true,,897,204,1,1,https://reqres.in/api/users,379,0,0
1708944542737,112,GET Single User,200,OK,Worload Config 1-22,text,true,,1186,96,1,1,https://reqres.in/api/users/2,112,0,67
1708944542850,389,POST Register,201,Created,Worload Config 1-22,text,true,,909,204,2,2,https://reqres.in/api/users,389,0,0
1708944543239,90,GET Single User,200,OK,Worload Config 1-23,text,true,,1182,96,1,1,https://reqres.in/api/users/2,90,0,54
1708944543330,394,POST Register,201,Created,Worload Config 1-23,text,true,,909,204,1,1,https://reqres.in/api/users,394,0,0
1708944543737,96,GET Single User,200,OK,Worload Config 1-24,text,true,,1186,96,1,1,https://reqres.in/api/users/2,96,0,54
1708944543833,384,POST Register,201,Created,Worload Config 1-24,text,true,,901,204,1,1,https://reqres.in/api/users,384,0,0
1708944544238,102,GET Single User,200,OK,Worload Config 1-25,text,true,,1186,96,1,1,https://reqres.in/api/users/2,102,0,65
1708944544341,387,POST Register,201,Created,Worload Config 1-25,text,true,,901,204,1,1,https://reqres.in/api/users,387,0,0
1708944544738,92,GET Single User,200,OK,Worload Config 1-26,text,true,,1186,96,1,1,https://reqres.in/api/users/2,92,0,55
1708944544831,388,POST Register,201,Created,Worload Config 1-26,text,true,,896,204,1,1,https://reqres.in/api/users,388,0,0
1708944545239,94,GET Single User,200,OK,Worload Config 1-27,text,true,,1186,96,1,1,https://reqres.in/api/users/2,94,0,63
1708944545334,393,POST Register,201,Created,Worload Config 1-27,text,true,,897,204,1,1,https://reqres.in/api/users,393,0,0
1708944545738,82,GET Single User,200,OK,Worload Config 1-28,text,true,,1182,96,1,1,https://reqres.in/api/users/2,82,0,53
1708944545821,383,POST Register,201,Created,Worload Config 1-28,text,true,,901,204,1,1,https://reqres.in/api/users,383,0,0
1708944546253,106,GET Single User,200,OK,Worload Config 1-29,text,true,,1185,96,1,1,https://reqres.in/api/users/2,106,0,77
1708944546359,387,POST Register,201,Created,Worload Config 1-29,text,true,,901,204,2,2,https://reqres.in/api/users,387,0,0
1708944546738,106,GET Single User,200,OK,Worload Config 1-30,text,true,,1178,96,1,1,https://reqres.in/api/users/2,106,0,66
1708944546845,385,POST Register,201,Created,Worload Config 1-30,text,true,,901,204,1,1,https://reqres.in/api/users,385,0,0
1708944547239,88,GET Single User,200,OK,Worload Config 1-31,text,true,,1186,96,1,1,https://reqres.in/api/users/2,88,0,55
1708944547328,388,POST Register,201,Created,Worload Config 1-31,text,true,,901,204,1,1,https://reqres.in/api/users,387,0,0
1708944547736,89,GET Single User,200,OK,Worload Config 1-32,text,true,,1182,96,1,1,https://reqres.in/api/users/2,89,0,52
1708944547826,384,POST Register,201,Created,Worload Config 1-32,text,true,,897,204,1,1,https://reqres.in/api/users,383,0,0
1708944548238,85,GET Single User,200,OK,Worload Config 1-33,text,true,,1178,96,1,1,https://reqres.in/api/users/2,85,0,56
1708944548324,386,POST Register,201,Created,Worload Config 1-33,text,true,,897,204,1,1,https://reqres.in/api/users,386,0,0
1708944548738,91,GET Single User,200,OK,Worload Config 1-34,text,true,,1178,96,1,1,https://reqres.in/api/users/2,91,0,57
1708944548829,395,POST Register,201,Created,Worload Config 1-34,text,true,,897,204,1,1,https://reqres.in/api/users,395,0,0
1708944549238,89,GET Single User,200,OK,Worload Config 1-35,text,true,,1186,96,1,1,https://reqres.in/api/users/2,89,0,59
1708944549327,379,POST Register,201,Created,Worload Config 1-35,text,true,,897,204,1,1,https://reqres.in/api/users,379,0,0
1708944549737,95,GET Single User,200,OK,Worload Config 1-36,text,true,,1178,96,1,1,https://reqres.in/api/users/2,95,0,63
1708944549833,381,POST Register,201,Created,Worload Config 1-36,text,true,,905,204,1,1,https://reqres.in/api/users,381,0,0
1708944550237,94,GET Single User,200,OK,Worload Config 1-37,text,true,,1182,96,1,1,https://reqres.in/api/users/2,94,0,65
1708944550332,382,POST Register,201,Created,Worload Config 1-37,text,true,,905,204,1,1,https://reqres.in/api/users,382,0,0
1708944550738,99,GET Single User,200,OK,Worload Config 1-38,text,true,,1178,96,1,1,https://reqres.in/api/users/2,99,0,69
1708944550838,396,POST Register,201,Created,Worload Config 1-38,text,true,,893,204,1,1,https://reqres.in/api/users,396,0,0
1708944551237,99,GET Single User,200,OK,Worload Config 1-39,text,true,,1186,96,1,1,https://reqres.in/api/users/2,99,0,69
1708944551337,381,POST Register,201,Created,Worload Config 1-39,text,true,,893,204,1,1,https://reqres.in/api/users,381,0,0
1708944551737,89,GET Single User,200,OK,Worload Config 1-40,text,true,,1178,96,1,1,https://reqres.in/api/users/2,89,0,54
